symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,Company
0,diesel,std,four,sedan,rwd,4.653007515402251,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,4.276666119016055,4200,31,39,9.81705782453774,mazda
0,gas,std,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,4.553876891600541,5000,19,24,9.65374331942474,peugeot
0,gas,std,four,wagon,fwd,4.5612182984589085,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,4.127134385045092,4800,31,37,8.841881989497114,toyota
1,gas,std,four,sedan,fwd,4.548599834499697,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,4.23410650459726,5200,31,37,8.92252495730139,nissan
0,gas,std,two,hatchback,fwd,4.56954300834494,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,4.454347296253507,5800,27,33,9.115480090952223,honda
1,gas,std,four,hatchback,fwd,4.540098189244376,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,4.219507705176107,5500,31,38,8.736971085254146,dodge
2,gas,std,two,hatchback,fwd,4.540098189244376,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,4.290459441148391,4400,26,31,8.86120833720818,subaru
0,diesel,turbo,four,sedan,rwd,4.681204872264089,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,4.553876891600541,4150,28,33,9.735068900911164,peugeot
3,gas,turbo,two,hatchback,fwd,4.563305981889393,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,4.976733742420574,5000,19,24,9.469931564261438,dodge
1,gas,std,two,hatchback,fwd,4.548599834499697,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,4.248495242049359,5400,38,43,8.747510946478448,chevrolet
